DocID,Category,Chunk,Predicted
016076,Philosophy,"Produced by Audrey Longhurst, William Flis, and the OnlineDistributed Proofreading Team at https://www.pgdp.netPREACHING AND PAGANISMBYALBERT PARKER FITCHPROFESSOR OF THE HISTORY OF RELIGION IN AMHERST COLLEGEWORKS BY THE SAME AUTHORTHE COLLEGE COURSE AND THE PREPARATION FOR LIFECAN THE CHURCH SURVIVE IN THE CHANGING ORDER?",Philosophy
001570,Philosophy,"Information on contacting Project Gutenberg to get Etexts, andfurther information is included below. We need your donations. Project Gutenberg surfs with a modem donated by Supra. The Power of Concentrationby Theron Q.",Philosophy
018729,Philosophy,"Produced by Geoff Horton, Karina Aleksandrova and theOnline Distributed Proofreading Team at http://www.pgdp.net LOURDES BY THE VERY REV. MONSIGNOR ROBERT HUGH BENSON WITH EIGHT FULL PAGE ILLUSTRATIONS ST. LOUIS MO.: B. HERDER, PUBLISHER 17, S. BROADWAY LONDON: MANRESA PRESS ROEHAMPTON, S. W. 1914Nihil Obstat: S. GEORGIUS KIERAN HYLAND, S. T. D., CENSOR DEPUTATUSImprimatur: GULIELMUS F. BROWN, VICARIUS GENERALIS, SOUTHWARCENSI._15 Maii, 1914._PREFACE.",Philosophy
019757,Social Sciences,"Produced by Jason Isbell, Bruce Albrecht, Jeannie Howseand the Online Distributed Proofreading Team athttp://www.pgdp.net * * * * * AUGUST 1, 1918 BULLETIN NO. 3 (FOR SHIPPERS) ""RETURN LOADS"" TO INCREASE TRANSPORT RESOURCES BY AVOIDING WASTE OF EMPTY VEHICLE RUNNING HIGHWAYS TRANSPORT COMMITTEE COUNCIL OF NATIONAL DEFENSE WASHINGTON, D.",Social Sciences
044867,Philosophy,"E-text prepared by Charlene Taylor, Fred Salzer, and the OnlineDistributed Proofreading Team (http://www.pgdp.net) from page imagesgenerously made available by Internet Archive/American Libraries(https://archive.org/details/americana)Note: Images of the original pages are available through Internet Archive/American Libraries. See https://archive.org/details/discoveryoffutur00wellialaTHE DISCOVERY OF THE FUTUREbyH. G. WELLS[Illustration]New YorkB. W. Huebsch1913Copyright, 1913,By B. W.",Philosophy
008071,Philosophy,"Produced by Tiffany Vergon, Dave Maddock and the OnlineDistributed Proofreading Team. EXPOSITIONS OF HOLY SCRIPTUREST. MARKALEXANDER MACLAREN, D. D., Litt. D. CONTENTSWHAT 'THE GOSPEL' IS (Mark i. 1)THE STRONG FORERUNNER AND THE STRONGER SON (Mark i. 1-11)MIGHTY IN WORD AND DEED (Mark i. 21-34)HEALING AND SERVICE (Mark i. 30, 31, R.",Philosophy
045823,Philosophy,"Produced by Jeroen Hellingman and the Online DistributedProofreading Team at http://www.pgdp.net/ for ProjectGutenberg (This book was produced from scanned images ofpublic domain material from the Google Print project.) ESSAYS IN RATIONALISM BY CHARLES ROBERT NEWMAN (Brother of Cardinal Newman.) WITH PREFACE BY GEORGE JACOB HOLYOAKE. AND BIOGRAPHICAL SKETCH BY J. M. WHEELER. LONDON: PROGRESSIVE PUBLISHING COMPANY, 28 Stonecutter Street, E. C. 1891 LONDON: PRINTED AND PUBLISHED BY G. W.",Philosophy
030362,Philosophy,"Produced by Stephen Hutcheson, based on page images providedby Google Books, with rough OCR by the Internet Archive) PAUL GERHARDT'S SPIRITUAL SONGS LONDON: PRINTED BY W. CLOWES AND SONS, STAMFORD STREET AND CHARING CROSS. PAUL GERHARDT'S SPIRITUAL SONGS TRANSLATED BY JOHN KELLY ALEXANDER STRAHAN, PUBLISHER 56, LUDGATE HILL, LONDON 1867 CONTENTS.",Philosophy
011966,Philosophy,"Produced by Internet Archive; University of Florida, Children, AndreaBall and the Online Distributed Proofreading Team.[Illustration: JAMES, THOMAS, AND GEORGE.]THE VILLAGE SUNDAY-SCHOOL:With brief Sketches ofTHREE OF ITS SCHOLARS. BY JOHN C. SYMONS. REVISED BY DANIEL P. KIDDER. New York:PUBLISHED BY LANE & SCOTT,FOR THE SUNDAY-SCHOOL UNION OF THE METHODIST EPISCOPALCHURCH, 200 MULBERRY-STREET. JOSEPH LONGKING, PRINTER.1850. PREFACE.",Philosophy
037097,Social Sciences,"Produced by Curtis Weyant and the Online DistributedProofreading Team at https://www.pgdp.net_What Works__SCHOOLS WITHOUT DRUGS_United States Department of EducationWilliam J. Bennett, Secretary1986THE WHITE HOUSEWASHINGTONAugust 4, 1986Drug and alcohol abuse touches all Americans in one form or another,but it is our children who are most vulnerable to its influence. Asparents and teachers, we need to educate ourselves about the dangersof drugs so that we can then teach our children.",Social Sciences
019104,Social Sciences,"Produced by Dave Maddock, Curtis A. Weyant and the OnlineDistributed Proofreading Team at http://www.pgdp.netSECRET SOCIETIES and SUBVERSIVE MOVEMENTSbyNESTA H.",Social Sciences
000360,Social Sciences,Produced by Mike LoughWHAT IS PROPERTY? AN INQUIRY INTO THE PRINCIPLE OF RIGHT AND OF GOVERNMENTBy P. J. ProudhonCONTENTS. P. J. PROUDHON: HIS LIFE AND HIS WORKS PREFACE FIRST MEMOIR CHAPTER I. METHOD PURSUED IN THIS WORK.--THE IDEA OF A REVOLUTION CHAPTER II. PROPERTY CONSIDERED AS A NATURAL RIGHT.--OCCUPATION AND CIVIL LAW AS EFFICIENT BASES OF PROPERTY.--DEFINITIONS % 1. Property as a Natural Right. % 2. Occupation as the Title to Property. % 3.,Social Sciences
007082,Philosophy,,Philosophy
011874,Social Sciences,"E-text prepared by Malcolm Farmer and Project Gutenberg DistributedProofreadersHODGE AND HIS MASTERSBYRICHARD JEFFERIESAuthor of 'The Gamekeeper at Home,' 'Wild Life in a Southern County,''The Amateur Poacher,' 'Round About A Great Estate,' Etc. PREFACEThe papers of which this volume is composed originally appeared in the_Standard_, and are now republished by permission of the Editor.",Social Sciences
018001,Philosophy,"Produced by Joshua Hutchinson and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by CornellUniversity Digital Collections)The American MissionaryAPRIL, 1895VOL. XLIXNo. 4CONTENTSEDITORIAL. OUR FINANCIAL OUTLOOK--DEATH OF FREDERICK DOUGLASS, 121 ITEMS, 122 THE PROSPERITY OF THE SOUTH, 123 NOTES-BY-THE-WAY, SEC. A. F. BEARD, 124THE SOUTH.",Philosophy
034655,Geography,"Produced by Sankar Viswanathan, Suzanne Shell, and theOnline Distributed Proofreading Team at http://www.pgdp.net(This file was produced from images generously madeavailable by The Internet Archive/American Libraries.)[Illustration: JU-JU MASK FROM IBO COUNTRY, SOUTHERN NIGERIA] FOLK STORIES FROM SOUTHERN NIGERIA WEST AFRICA BY ELPHINSTONE DAYRELL, F. R. G. S., F. R. A. I.",Geography
021112,Philosophy,"Produced by Colin Bell, Daniel J. Mount, Dave Morgan, DavidKing, and the Online Distributed Proofreading Team athttp://www.pgdp.netTHECAUSES OF THE CORRUPTIONOF THETRADITIONAL TEXTOF THEHOLY GOSPELSBEING THE SEQUEL TO_THE TRADITIONAL TEXT OF THE HOLY GOSPELS_BY THE LATEJOHN WILLIAM BURGON, B. D. DEAN OF CHICHESTERARRANGED, COMPLETED, AND EDITEDBYEDWARD MILLER, M. A.",Philosophy
006368,Geography,"Produced by Karen Fabrizius, Juliet Sutherland, Charles Franksand the Online Distributed Proofreading Team. HERE, THERE AND EVERYWHEREBYLORD FREDERIC HAMILTONTO MY GALLANT CANADIAN FRIEND GERALD RUTHERFORD, M. C. OF WINNIPEGFOREWORDSo kindly a reception have the public accorded to ""The Days BeforeYesterday"" that I have ventured into print yet again.",Geography
035998,Philosophy,"Produced by Joseph R. Hauser, ismail user and the OnlineDistributed Proofreading Team at http://www.pgdp.net[Transcriber's note: All bold characters are enclosed within equal signs, like =this=, Some minor spelling errors have been corrected, All research did not uncover any evidence that the U. S. copyright on this publication was renewed.][Illustration: CHART OF THE LUMANUS][Illustration: C. J.",Philosophy
026726,Philosophy,"This ebook was transcribed by Les Bowler. PASCAL BY PRINCIPAL TULLOCH WILLIAM BLACKWOOD AND SONS EDINBURGH AND LONDON 1878.—REPRINT, 1882 _All Rights reserved_PREFATORY NOTE. The translations in this volume are chiefly my own; but I have also takenexpressions and sentences freely from others—and especially from DrM’Crie, in his translation of the ‘Provincial Letters’—when they seemedto convey well the sense of the original.",Philosophy
030718,Philosophy,"An Outline of Occult Science By Rudolf Steiner, Ph. D. Authorized Translation from the Fourth Edition (Newly Revised) AnthropoSophic Press New York 1922CONTENTSPreface to the Fourth Edition. Author's Remarks To First EditionChapter I. The Character of Occult ScienceChapter II. The Nature of ManChapter III. Sleep and DeathChapter IV. The Evolution of the World and ManChapter V. Knowledge of the Higher WorldsChapter VI. The Present and Future Evolution of the World and of HumanityChapter VII.",Philosophy
038378,Philosophy,Produced by David WidgerTHE CHRISTIAN SABBATHIS IT OF DIVINE ORIGIN? By J. B. RemsburgIs the Christian Sabbath of divine origin? I propose to show that it isnot--that there is no more divinity attached to Sunday than to any otherday.,Philosophy
012364,Philosophy,"PROPHECY***E-text prepared by Project Gutenberg Distributed ProofreadersTHE UNITED STATES IN THE LIGHT OF PROPHECY;OR, AN EXPOSITION OF REV. 13:11-17. BY URIAH SMITH.1874 And he doeth great wonders, so that he maketh fire come down from heaven on the earth in the sight of men. REV. 13:13. Preface. If we read the signs of the times aright, events are soon to transpireof such a nature as to preclude the necessity of any apology for thepublication of what is contained in the following pages.",Philosophy
031193,Social Sciences,"Produced by Al Haines, from images obtained from The Internet Archive.",Social Sciences
048693,Social Sciences,Produced by Chris Curnow and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive)Transcriber's Note:Italic text is denoted by _underscores_ and bold text by=equal signs=. Small capital text has been replaced with all capitals. Minor typographical and punctuation errors have been correctedwithout note. Irregularities and inconsistencies in the text havebeen retained as printed.,Social Sciences
051578,Politics,"Produced by MWS, Martin Pettit and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive/American Libraries.)Conservative and Unionist Women'sFranchise Association. The Progress of theWomen's Suffrage MovementbyMrs. Henry SidgwickPresidential Address to the Cambridge Branch ofthe C. & U. W. F. A. at the Annual Meeting onMay 23rd, 1913.",Politics
038094,Philosophy,"Produced by David WidgerLETTERS TO EUGENIA;or, A PRESERVATIVE AGAINST RELIGIOUS PREJUDICES. By Baron D'holbach(Paul Henri Thiry Holbach (baron d') Nicolas Freret)Author Of The System Of Nature, The Social System, Good Sense,Christianity Unveiled, Ecce Homo, Universal Morality, Religious Cruelty&c. Translated From The French, By Anthony C. Middleton, M. D. ...""Arctis Religionum animos nodis exsolvere pergo."" Lucretii De Rerum Natura, lib. iv. v. 6,7.1870NAIGEON'S PREFACE.1768.",Philosophy
036996,Philosophy,"Produced by Al Haines. *MYSTIC IMMANENCE* THE INDWELLING SPIRIT BY THE VENERABLE BASIL WILBERFORCE, D. D. LONDON : ELLIOT STOCK 7, PATERNOSTER ROW, E. C. 1914 *WORKS BY ARCHDEACON WILBERFORCE*SPIRITUAL CONSCIOUSNESS, 3s. net. STEPS IN SPIRITUAL GROWTH. 3s. net. THE SECRET OF THE QUIET MIND. 3s. net. THE POWER THAT WORKETH IN US. With Portrait of the Author. 3s. net. POWER WITH GOD. 3s. net. THE HOPE THAT IS IN ME. 5s. SERMONS PREACHED IN WESTMINSTER ABBEY. First Series. 5s.",Philosophy
012085,Philosophy,"Produced by Jonathan Ingram and the Online Distributed Proofreading Team.[Illustration: _From a photograph by H. S. Mendelssohn, 27, CathcartRoad, South Kensington, London._ ANNIE BESANT. 1885]ANNIE BESANTAN AUTOBIOGRAPHYIllustratedLONDONSECOND EDITIONPREFACE. It is a difficult thing to tell the story of a life, and yet moredifficult when that life is one's own.",Philosophy
034028,Politics,"Produced by Brian Foley and the Online DistributedProofreading Team at https://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive/American Libraries.)RACES AND IMMIGRANTS IN AMERICA[Illustration: ELLIS ISLAND, IMMIGRATION STATION] RACES AND IMMIGRANTS IN AMERICA BY JOHN R.",Politics
016975,Philosophy,E-text prepared by Thierry Alberto and the Ghosts and Goblins of theProject Gutenberg Online Distributed Proofreading Team(https://www.pgdp.net/)THE HAUNTED HOUSE:A True Ghost Story.,Philosophy
044779,Geography,[Transcriber's Note: Bold text is surrounded by =equal signs= anditalic text is surrounded by _underscores_.]STRANGE TEAS DINNERS WEDDINGS AND FETES BY VARIOUS AUTHORS BOSTON D LOTHROP COMPANY FRANKLIN AND HAWLEY STREETS COPYRIGHT 1887 BY D LOTHROP COMPANYCONTENTS. PAGE. I. MY TEA TO MEHEMET ALI AND FAREEDIE 9 II. A JAPANESE DINNER 21 III. A ROMAN CHRISTMAS 31 IV. SYLVESTER-ABEND 42 V. A COPTIC WEDDING 51 VI. IN THE BOIS DE BOULOGNE 57 VII. AN ARAB DINNER-PARTY 66 VIII.,Geography
017147,Philosophy,"Produced by John Hagerson, Juliet Sutherland, Keith Edkinsand the Online Distributed Proofreading Team athttps://www.pgdp.netTheodicyEssays onthe Goodness of Godthe Freedom of Man andthe Origin of EvilG. W. LEIBNIZEdited with an Introduction by Austin Farrer, Fellow of Trinity College,OxfordTranslated by E. M. Huggard from C. J.",Philosophy
033237,Philosophy,"Produced by Larry B. Harrison and the Online DistributedProofreading Team at http://www.pgdp.net The Call of the World _OR_, _EVERY MAN'S SUPREME OPPORTUNITY_ BY W. E.",Philosophy
008048,Philosophy,This eBook was produced by David Widgerwith the help of Derek Andrew's text from January 1992and the work of Bryan Taylor in November 2002.,Philosophy
016939,Philosophy,"Gems of Divine Mysteriesby Baha'u'llahEdition 1, (June 23, 2005) BAHA'I TERMS OF USEYou have permission to freely make and use copies of the text and anyother information (""Content"") available on this Site including printing,emailing, posting, distributing, copying, downloading, uploading,transmitting, displaying the Content in whole or in part subject to thefollowing:1. Our copyright notice and the source reference must be attached to theContent;2.",Philosophy
042460,Philosophy,,Philosophy
030956,Social Sciences,"Produced by Annie McGuireTHE HISTORY OF THE GREAT AMERICAN FORTUNESBY THE SAME AUTHOR * * * * *THE HISTORY OF TAMMANY HALLHISTORY OF THE PUBLIC FRANCHISES IN NEW YORK CITYHISTORY OF THE GREAT AMERICAN FORTUNESBYGUSTAVUS MYERSAUTHOR OF ""THE HISTORY OF TAMMANY HALL,"" ""HISTORY OFPUBLIC FRANCHISES IN NEW YORK CITY,"" ETC. * * * * *VOL. I. PART I: CONDITIONS IN SETTLEMENT AND COLONIAL TIMES PART II: THE GREAT LAND FORTUNES * * * * *CHICAGOCHARLES H.",Social Sciences
021054,Geography,"WORLD***E-text prepared by Mark C. Orton, David Garcia, Linda Cantoni, and theProject Gutenberg Online Distributed Proofreading Team(https://www.pgdp.net)Note: Project Gutenberg also has an HTML version of this file which includes the original maps and illustrations.",Geography
046901,Philosophy,"Produced by Charlene Taylor, Bryan Ness, Reiner Ruf andthe Online Distributed Proofreading Team athttp://www.pgdp.net (This file was produced from imagesgenerously made available by The Internet Archive/AmericanLibraries.) Transcriber's Note: ###################This e-text is based on the 1903 edition of the originalbook. Minor punctuation errors have been tacitly corrected.",Philosophy
029427,Philosophy,"E-text prepared by the Bookworm, Emmy, and the Project Gutenberg OnlineDistributed Proofreading Team (http://www.pgdp.net) from digital materialgenerously made available by Internet Archive/American Libraries(http://www.archive.org/details/americana)Note: Project Gutenberg also has an HTML version of this file which includes the original illustrations.",Philosophy
014422,Politics,"Produced by Sandra Bannatyne and the Online Distributed ProofreadingTeam, Produced from images provided by the Million Book ProjectTHE PROMISE OF AMERICAN LIFEBY HERBERT CROLYNew YorkTHE MACMILLAN COMPANY * * * * *Set up and electrotyped. Published November, 1909. ReprintedJune, 1910; April, 1911; March, 1912. Norwood PressJ. S. Cushing Co.--Berwick & Smith Co. Norwood, Mass., U. S. A. DedicatedTO THE MEMORY OF THE LATEDAVID GOODMAN CROLYCONTENTSCHAPTER IWHAT IS THE PROMISE OF AMERICAN LIFE?",Politics
011044,Philosophy,"Transcribed by David Price, email ccx074@coventry.ac.ukTHE EXISTENCE OF GODINTRODUCTIONAn ancestor of the French divine who under the name of Fenelon hasmade for himself a household name in England as in France, wasBertrand de Salignac, Marquis de la Mothe Fenelon, who in 1572, asambassador for France, was charged to soften as much as he could theresentment of our Queen Elizabeth when news came of the massacre ofSt. Bartholomew.",Philosophy
034979,Social Sciences,Produced by Fritz Ohrenschall and the Online DistributedProofreading Team at https://www.pgdp.net * * * * * +-----------------------------------------------------------+ | Transcriber's Note: | | | | Inconsistent hyphenation in the original document has | | been preserved. | | | | Obvious typographical errors have been corrected.,Social Sciences
016577,Social Sciences,"E-text prepared by Audrey Longhurst, Jeannie Howse, and the ProjectGutenberg Online Distributed Proofreading Team (https://www.pgdp.net/)Transcriber's note: The few spelling mistakes found in this text were left intact. THE BUSINESS OF BEING A WOMANbyIDA M. TARBELLAssociate Editor of the ""American Magazine""Author of ""Life of Abraham Lincoln""""History of the Standard Oil Co.""""He Knew Lincoln,"" etc. New YorkThe MacMillan CompanyNew York . Boston . ChicagoDallas .",Social Sciences
002396,Philosophy,"Information on contacting Project Gutenberg to get Etexts, andfurther information is included below. We need your donations. History of the Catholic Church from the Renaissance to the FrenchRevolutionby Rev. James MacCaffreyNovember, 2000 [Etext #2396]Project Gutenberg Etext, History of the Catholic Church from theRenaissance to the French Revolution, by Rev.",Philosophy
047708,Philosophy,"Produced by the Mormon Texts Project (MormonTextsProject.org)BIOGRAPHYANDFAMILY RECORDOFLORENZO SNOW,One of the Twelve Apostles of the Church of Jesus Christ of Latter-DaySaints. Written and Compiled by his Sister,Eliza R. Snow Smith.""I know him, that he will command his children after him, and theyshall keep the word of the Lord, to do justice and judgment.""""If you wish to go where God is, you must be like God--possessing theprinciples which God possesses.""--Joseph Smith.",Philosophy
042605,Philosophy,"Produced by Gerard Arthus, Michael Seow and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisbook was produced from scanned images of public domainmaterial from the Google Print project.) A SERMON PREACHED IN CHRIST CHURCH, HARTFORD, JANUARY 29th, 1865; IN COMMEMORATION OF THE RT. REV. THOMAS CHURCH BROWNELL, D. D., LL. D., THIRD BISHOP OF CONNECTICUT, AND PRESIDING BISHOP OF THE PROTESTANT EPISCOPAL CHURCH IN THE UNITED STATES. BY HIS ASSISTANT AND SUCCESSOR.",Philosophy
013934,Philosophy,"Produced by Clare Boothby, Mary Meehan and the PG Online DistributedProofreading Team. INFERENCES FROM HAUNTED HOUSES AND HAUNTED MEN BY THE HONBLE. JOHN HARRIS 1901Inferences from Haunted Houses and Haunted MenThe lack of interest in so-called psychical matters is somewhatsurprising. There is, however, more hope of the clearing up of the scientific aspectsof these phenomena than ever before.",Philosophy
019903,Philosophy,"The American Missionary - Volume 49, No. 5, May 1895by VariousEdition 1, (November 23, 2006)CONTENTSEditorial FINANCES. LET IT BE REMEMBERED: CHURCH WORK IN THE SOUTH. FRIGHT AT A CAMERA. Revival Services in the Mountains. A Passage at Arms. A SUBSCRIPTION LIST. The South. IN NORTH CAROLINA. A SUNDAY AT TALLADEGA, ALA. STORRS SCHOOL, ATLANTA, GA. ANDERSONVILLE, GA. The Indians. ITEMS FROM INDIAN MISSIONS. MRS. ADELAIDE RIDEOUT RIGGS. AN INDIAN HELPING NEEDY WHITES. The Chinese.",Philosophy
043631,Social Sciences,"Produced by The Online Distributed Proofreading Team athttp://www.pgdp.net (This file was produced from imagesgenerously made available by The Internet Archive.) THE VICE BONDAGE OF A GREAT CITY OR The Wickedest City in the World --By-- ROBERT O. HARLAND. The Reign of Vice, Graft and Political Corruption. Expose of the monstrous Vice Trust. Its personnel. Graft by the Vice Trust from the Army of Sin for protection. A score of forms of vice graft.",Social Sciences
036890,Philosophy,"Produced by The Online Distributed Proofreading Team athttp://www.pgdp.net (This file was produced from imagesgenerously made available by The Internet Archive.) Epochs of Church History EDITED BY PROFESSOR MANDELL CREIGHTON. THE ENGLISH CHURCH IN THE MIDDLE AGES. EPOCHS OF CHURCH HISTORY. Edited by Professor MANDELL CREIGHTON. Fcp. 8vo, 2s. 6d. each. THE ENGLISH CHURCH IN OTHER LANDS. By Rev. H. W. TUCKER. THE HISTORY OF THE REFORMATION IN ENGLAND. By Rev. GEORGE G. PERRY.",Philosophy
043847,Philosophy,"Produced by Douglas L. Alley, III, Colin Bell and theOnline Distributed Proofreading Team at http://www.pgdp.net(This file was produced from images generously madeavailable by The Internet Archive) THE EXPOSITOR'S BIBLE. Edited by Rev. W. R. NICOLL, D. D., Editor of _London Expositor_. 1ST SERIES IN 6 VOLS. =MACLAREN, Rev. Alex.=--COLOSSIANS--PHILEMON. =DODS, Rev. Marcus.=--GENESIS. =CHADWICK, Rev. Dean.=--ST. MARK. =BLAIKIE, Rev. W. G.=--SAMUEL, 2 VOLS. =EDWARDS, Rev. T.",Philosophy
040984,Philosophy,"Produced by David WidgerCHRISTIAN MYSTERYA CHINESE TALE, FOUND IN THE PORTFOLIO OF A PORTUGUESE FRIAR. Hear, O prodigy! O Tenderness! O Mystery!--He has just drowned the Fathers;--and now he will die for the Children! Voltaire. LONDON:PRINTED & PUBLISHED BY R. CARLILE, 55, FLEET STREET.1819. CHRISTIAN MYSTERYCommercial affaire had engaged me to make a sea voyage.",Philosophy
045040,Philosophy,Produced by Mark C. Orton and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive)Transcriber's Note: Minor typographical errors have been correctedwithout note. Irregularities and inconsistencies in the text havebeen retained as printed. Words printed in italics are noted withunderscores: _italics_. EMANCIPATIONMENTICULTURE OR THE A-B-C OF TRUE LIVINGBYHORACE FLETCHERCHICAGOA. C.,Philosophy
012885,Geography,"Produced by Steven desJardins and Distributed Proofreaders. BUNDLING;Its Origin, Progress and Decline In America. BY HENRY REED STILES, M. D.,AUTHOR OF HISTORY OF BROOKLYN, HISTORY OF WINDSOR, CT., ETC. ""I find by all historians, whether ancient or modern, whom I consulted in searching for this work, the fact well recorded, and established beyond all controversy, that the Yankee nation are a set of talking, guessing, swapping and _bundling_ sons of women."" _Grant Thorburn's Notes on Virginia_.",Geography
050739,Philosophy,"Our Monthly Devotions By Very Rev. Dean A. A. Lings Author of ""Our Favorite Devotions,"" ""Our Favorite Novenas,"" etc. Benziger Brothers New York, Cincinnati, Chicago 1899CONTENTSPreface. January. The Holy Infancy. Considerations and Prayers for Every Day. First Day. Second Day. Third Day. Fourth Day. Fifth Day. Sixth Day. Seventh Day. Eighth Day. Ninth Day. Tenth Day. Eleventh Day. Twelfth Day. Thirteenth Day. Fourteenth Day. Fifteenth Day. Sixteenth Day. Seventeenth Day. Eighteenth Day.",Philosophy
036032,Social Sciences,"Produced by Odessa Paige Turner, Barbara Kosker and theOnline Distributed Proofreading Team at http://www.pgdp.net(This file was produced from images generously madeavailable by The Internet Archive/American Libraries.) THE GREAT STEEL STRIKE AND ITS LESSONS by WILLIAM Z.",Social Sciences
000475,Social Sciences,"IN DARKEST ENGLAND and THE WAY OUTby GENERAL BOOTH(this Etext comes from the 1890 1st ed. pub. The Salvation Army) To the memory of the companion, counsellor, and comrade of nearly 40 years. The sharer of my every ambition for the welfare of mankind, my loving, faithful, and devoted wife this book is dedicated.",Social Sciences
