DocID,Title,Authors,Category
000505,History of the Warfare of Science with Theology in Christendom,"White, Andrew Dickson, 1832-1918",B
000563,"The Planet Mars and Its Inhabitants, a Psychic Revelation","Kennon, J. L.",B
000570,"The Moravians in Georgia, 1735-1740","Fries, Adelaide L. (Adelaide Lisetta), 1871-1949",B
000571,The 1995 CIA World Factbook,United States. Central Intelligence Agency,G
000578,Down with the Cities!,"Nakashima, Tadashi, 1920-",H
000621,The Varieties of Religious Experience: A Study in Human Nature,"James, William, 1842-1910",B
000639,"The God-Idea of the Ancients; Or, Sex in Religion","Gamble, Eliza Burt, 1841-1920",B
000690,Proposed Roads to Freedom,"Russell, Bertrand, 1872-1970",H
000739,Henry Clay's Remarks in House and Senate,"Clay, Henry, 1777-1852",J
000740,"Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839","Calhoun, John C. (John Caldwell), 1782-1850",J
000741,Thomas Hart Benton's Remarks to the Senate on the Expunging Resolution,"Benton, Thomas Hart, 1782-1858",J
000743,"Thoughts on Man, His Nature, Productions and Discoveries
Interspersed with Some Particulars Respecting the Author","Godwin, William, 1756-1836",B
000752,A Young Girl's Diary,"Freud, Sigmund, 1856-1939 [Author of introduction, etc.]; Paul, Cedar, 1880-1972 [Translator]; Paul, Eden, 1865-1944 [Translator]",H
000769,The Book of Tea,"Okakura, Kakuzo, 1862-1913",G
000781,Sinking of the Titanic and Great Sea Disasters,"Marshall, Logan, 1884-1937 [Editor]",G
000782,The Travels of Sir John Mandeville,"Mandeville, John, Sir",G
000815,Democracy in America — Volume 1,"Tocqueville, Alexis de, 1805-1859; Reeve, Henry, 1813-1895 [Translator]",J
000816,Democracy in America — Volume 2,"Tocqueville, Alexis de, 1805-1859; Reeve, Henry, 1813-1895 [Translator]",J
000833,The Theory of the Leisure Class,"Veblen, Thorstein, 1857-1929",H
000853,The Confutatio Pontificia,"Reu, Johann Michael, 1869-1943 [Editor]",B
000908,Treatise on Parents and Children,"Shaw, Bernard, 1856-1950",H
000919,Ethics — Part 1,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000920,Ethics — Part 2,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000922,Sunday Under Three Heads,"Dickens, Charles, 1812-1870",B
000925,United States Presidents' Inaugural Speeches: From Washington to George W. Bush,United States. Presidents,J
000926,"Ten Thousand Dreams Interpreted; Or, What's in a Dream
A Scientific and Practical Exposition","Miller, Gustavus Hindman, 1857-1929",B
000935,Self Help; with Illustrations of Conduct and Perseverance,"Smiles, Samuel, 1812-1904",B
000948,Ethics — Part 3,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000971,Ethics — Part 4,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000975,Ethics — Part 5,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000989,Theologico-Political Treatise — Part 1,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000990,Theologico-Political Treatise — Part 2,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000991,A Theological-Political Treatise [Part III],"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
000992,A Theological-Political Treatise [Part IV],"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
001016,On the Improvement of the Understanding,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
001017,The Soul of Man under Socialism,"Wilde, Oscar, 1854-1900",H
001046,"God, the Invisible King","Wells, H. G. (Herbert George), 1866-1946",B
001140,Latter-Day Pamphlets,"Carlyle, Thomas, 1795-1881",H
001185,History of the Conflict Between Religion and Science,"Draper, John William, 1811-1882",B
001187,War of the Classes,"London, Jack, 1876-1916",H
001226,"The Journal of Abnormal Psychology, Volume 10",Various,B
001232,The Prince,"Machiavelli, Niccolò, 1469-1527; Marriott, W. K. (William Kenaz), -1927 [Translator]",J
001270,In Defense of Women,"Mencken, H. L. (Henry Louis), 1880-1956",H
001271,Bygone Beliefs: Being a Series of Excursions in the Byways of Thought,"Redgrove, H. Stanley (Herbert Stanley), 1887-1943",B
001275,"Alexandria and Her Schools
Four Lectures Delivered at the Philosophical Institution, Edinburgh","Kingsley, Charles, 1819-1875",B
001297,The Iron Puddler: My Life in the Rolling Mills and What Came of It,"Davis, James J. (James John), 1873-1947",H
001318,"The Twin Hells
A Thrilling Narrative of Life in the Kansas and Missouri Penitentiaries","Reynolds, John N. (John Newton)",H
001319,"Increasing Human Efficiency in Business
A Contribution to the Psychology of Business","Scott, Walter Dill, 1869-1955",H
001320,"Criminal Psychology: A Manual for Judges, Practitioners, and Students","Gross, Hans, 1847-1915; Jastrow, Joseph, 1863-1944 [Author of introduction, etc.]; Kallen, Horace Meyer, 1882-1974 [Translator]",H
001325,Twenty Years at Hull House; with Autobiographical Notes,"Addams, Jane, 1860-1935",H
001347,A New Philosophy,"Le Roy, Edouard, 1870-1954; Benson, Vincent [Translator]",B
001398,"The Doré Lectures
Being Sunday addresses at the Doré Gallery, London, given in connection with the Higher Thought Centre","Troward, T. (Thomas), 1847-1916",B
001420,London's Underworld,"Holmes, Thomas, 1846-1918",H
001440,Woman and Labour,"Schreiner, Olive, 1855-1920",H
001451,The Art of Lawn Tennis,"Tilden, William T. (William Tatem), 1893-1953",G
001485,The Use and Need of the Life of Carry A. Nation,"Nation, Carry Amelia, 1846-1911",H
001493,The Legends of the Jews — Volume 1,"Ginzberg, Louis, 1873-1953; Szold, Henrietta, 1860-1945 [Translator]",B
001494,The Legends of the Jews — Volume 2,"Ginzberg, Louis, 1873-1953; Szold, Henrietta, 1860-1945 [Translator]",B
001549,Commentary on the Epistle to the Galatians,"Luther, Martin, 1483-1546; Graebner, Theodore, 1876-1950 [Translator]",B
001558,The Profits of Religion: An Essay in Economic Interpretation,"Sinclair, Upton, 1878-1968",B
001561,Pagan and Christian Creeds: Their Origin and Meaning,"Carpenter, Edward, 1844-1929",B
001570,The Power of Concentration,"Dumont, Theron Q.",B
001575,The Foundations of Personality,"Myerson, Abraham, 1881-1948",B
001576,A Unique Story of a Marvellous Career: Life of Hon. Phineas T. Barnum,"Benton, Joel, 1832-1911",G
001592,"The Greatest English Classic
A Study of the King James Version of the Bible and Its Influence on Life and Literature","McAfee, Cleland Boyd, 1866-1944",B
001632,A Book of Scoundrels,"Whibley, Charles, 1859-1930",H
001637,Sanitary and Social Lectures and Essays,"Kingsley, Charles, 1819-1875",H
001638,The New Revelation,"Doyle, Arthur Conan, 1859-1930",B
001650,"The Light of Egypt; Or, The Science of the Soul and the Stars — Volume 2","Burgoyne, Thomas H.; Wagner, Belle M.",B
001653,The Imitation of Christ,"Thomas, à Kempis, 1380-1471; Benham, William, 1831-1910 [Translator]",B
001662,The 1997 CIA World Factbook,United States. Central Intelligence Agency,G
001670,Luther's Little Instruction Book: The Small Catechism of Martin Luther,"Luther, Martin, 1483-1546; Smith, Robert E. [Translator]",B
001688,The People of the Abyss,"London, Jack, 1876-1916",H
001689,The Pivot of Civilization,"Sanger, Margaret, 1879-1966; Wells, H. G. (Herbert George), 1866-1946 [Author of introduction, etc.]",H
001717,What's Wrong with the World,"Chesterton, G. K. (Gilbert Keith), 1874-1936",H
001722,"Martin Luther's Large Catechism, translated by Bente and Dau","Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",B
001759,The Black-Bearded Barbarian : The Life of George Leslie Mackay of Formosa,"MacGregor, Mary Esther Miller, 1876-1961",B
001903,"Everybody's Guide to Money Matters
With a description of the various investments chiefly dealt in on the stock exchange, and the mode of dealing therein","Cotton, William, F.S.A., of Exeter",H
001911,Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,"Luther, Martin, 1483-1546",B
001959,The Crown of Thorns: A Token for the Sorrowing,"Chapin, E. H. (Edwin Hubbell), 1814-1880",B
001998,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm, 1844-1900; Common, Thomas, 1850-1919 [Translator]",B
002012,The Children,"Meynell, Alice, 1847-1922",H
002016,The 1998 CIA World Factbook,United States. Central Intelligence Agency,G
002017,"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists","Müller, F. Max (Friedrich Max), 1823-1900 [Translator]",B
002030,Legends of Babylon and Egypt in Relation to Hebrew Tradition,"King, L. W. (Leonard William), 1869-1919",B
002033,The Unknown Guest,"Maeterlinck, Maurice, 1862-1949; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",B
002052,"Everybody's Business Is Nobody's Business
Or, Private Abuses, Public Grievances; Exemplified in the Pride, Insolence, and Exorbitant Wages of Our Women, Servants, Footmen, &c.","Defoe, Daniel, 1661?-1731",H
002053,"The American Republic: Its Constitution, Tendencies, and Destiny","Brownson, Orestes Augustus, 1803-1876",J
002055,Two Years Before the Mast,"Dana, Richard Henry, 1815-1882; Keyes, Homer Eaton, 1875-1938 [Author of introduction, etc.]",G
002056,"The Life of William Carey, Shoemaker & Missionary","Smith, George, 1833-1919",B
002069,The Religion of Babylonia and Assyria,"Pinches, Theophilus G. (Theophilus Goldridge), 1856-1934",B
002099,A History of the Moravian Church,"Hutton, J. E. (Joseph Edmund), 1868-",B
002130,Utopia,"More, Thomas, Saint, 1478-1535; Morley, Henry, 1822-1894 [Editor]",H
002134,Utopia of Usurers and Other Essays,"Chesterton, G. K. (Gilbert Keith), 1874-1936",H
002157,Female Suffrage: A Letter to the Christian Women of America,"Cooper, Susan Fenimore, 1813-1894",J
002162,Anarchism and Other Essays,"Goldman, Emma, 1869-1940; Havel, Hippolyte, 1871-1950 [Contributor]",H
002274,How to Live on 24 Hours a Day,"Bennett, Arnold, 1867-1931",B
002330,Religions of Ancient China,"Giles, Herbert Allen, 1845-1935",B
002352,Eurasia,"Evans, Christopher, 1847-1917",H
002395,The Golden Fleece and the Heroes Who Lived Before Achilles,"Colum, Padraic, 1881-1972",B
002396,History of the Catholic Church from the Renaissance to the French Revolution — Volume 1,"MacCaffrey, James, 1875-1935",B
002397,"The Story of My Life
With her letters (1887-1901) and a supplementary account of her education, including passages from the reports and letters of her teacher, Anne Mansfield Sullivan, by John Albert Macy","Keller, Helen, 1880-1968; Macy, John Albert, 1877-1932 [Contributor]; Sullivan, Annie, 1866-1936 [Contributor]",H
002400,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance","Burton, Richard Francis, Sir, 1821-1890; Burton, Isabel, Lady, 1831-1896 [Editor]",G
002412,The Categories,"Aristotle, 385 BCE-323 BCE; Edghill, E. M. [Translator]",B
002434,New Atlantis,"Bacon, Francis, 1561-1626",H
002443,"The Story of the Mormons, from the Date of Their Origin to the Year 1901","Linn, William Alexander, 1846-1917",B
002455,History of the Catholic Church from the Renaissance to the French Revolution — Volume 2,"MacCaffrey, James, 1875-1935",B
002458,"Sermons on the Card, and Other Discourses","Latimer, Hugh, 1485?-1555; Morley, Henry, 1822-1894 [Editor]",B
002494,For Greater Things: The Story of Saint Stanislaus Kostka,"Kane, William T. (William Terence), 1880-1946",B
002498,Addresses by Henry Drummond,"Drummond, Henry, 1851-1897",B
002510,The Invention of a New Religion,"Chamberlain, Basil Hall, 1850-1935",B
002513,God the Known and God the Unknown,"Butler, Samuel, 1835-1902",B
002526,The Yoga Sutras of Patanjali: The Book of the Spiritual Man,"Patañjali; Johnston, Charles, 1867-1931 [Editor]",B
002529,The Analysis of Mind,"Russell, Bertrand, 1872-1970",B
002541,Character,"Smiles, Samuel, 1812-1904",B
002575,Confessions of an Inquiring Spirit and Some Miscellaneous Pieces,"Coleridge, Samuel Taylor, 1772-1834; Morley, Henry, 1822-1894 [Editor]",B
002603,Questionable Amusements and Worthy Substitutes,"Judy, J. M.; Trever, Geo. H. (George Henry), 1857- [Author of introduction, etc.]",B
002611,Confiscation; An Outline,"Greenwood, William",H
002680,Meditations,"Marcus Aurelius, Emperor of Rome, 121-180",B
002737,"A Grandpa's Notebook
Ideas, Models, Stories and Memoirs to Encourage Intergenerational Outreach and Communication","Moldeven, Meyer, 1917-",H
002741,"The Borgias
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002742,"Cenci
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002743,"Massacres of the South (1551-1815)
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002744,"Mary Stuart
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002745,"Karl Ludwig Sand
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002746,"Urbain Grandier
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002747,"Nisida
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002748,"Derues
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002749,"La Constantin
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002750,"Joan of Naples
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002751,Man in the Iron Mask (an Essay),"Dumas, Alexandre, 1802-1870",H
002752,"Martin Guerre
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002753,"Ali Pacha
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002754,"The Countess of Saint Geran
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002755,"Murat
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002756,"Marquise Brinvillier
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002757,"Vaninka
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002758,"Marquise De Ganges
Celebrated Crimes","Dumas, Alexandre, 1802-1870",H
002760,Celebrated Crimes (Complete),"Dumas, Alexandre, 1802-1870",H
002800,The Koran (Al-Qur'an),"Rodwell, J. M. (John Medows), 1808-1900 [Translator]; Margoliouth, G. (George), 1853-1924 [Author of introduction, etc.]",B
002801,The Commonwealth of Oceana,"Harrington, James, 1611-1677",H
002810,"Plunkitt of Tammany Hall: a series of very plain talks on very practical politics, delivered by ex-Senator George Washington Plunkitt, the Tammany philosopher, from his rostrum—the New York County court house bootblack stand; Recorded by William L. Riordon","Plunkitt, George Washington, 1842-1924; Riordon, William L., 1861-1909 [Editor]",J
002816,The City of the Sun,"Campanella, Tommaso, 1568-1639",H
002832,"Myth, Ritual and Religion, Vol. 1 (of 2)","Lang, Andrew, 1844-1912",B
002849,Against Apion,"Josephus, Flavius, 38?-100?; Whiston, William, 1667-1752 [Translator]",B
002873,"The Prehistoric World; Or, Vanished Races","Allen, Emory Adams, 1854-1933",G
002881,The Legends of the Jews — Volume 3,"Ginzberg, Louis, 1873-1953; Radin, Paul, 1883-1959 [Translator]",B
002882,The Legends of the Jews — Volume 4,"Ginzberg, Louis, 1873-1953; Radin, Paul, 1883-1959 [Translator]; Szold, Henrietta, 1860-1945 [Translator]",B
002895,Following the Equator: A Journey Around the World,"Twain, Mark, 1835-1910",G
002991,Sir Francis Drake's Famous Voyage Round the World,"Pretty, Francis",G
003015,"The Man-Made World; Or, Our Androcentric Culture","Gilman, Charlotte Perkins, 1860-1935",H
003017,"The Forerunner, Volume 1 (1909-1910)","Gilman, Charlotte Perkins, 1860-1935 [Editor]",H
003053,Signs of Change,"Morris, William, 1834-1896",H
003057,The Common Edition: New Testament,"Clontz, T. E. (Timothy E.), 1964- [Translator]",B
003099,The Old Merchant Marine: A Chronicle of American Ships and Sailors,"Paine, Ralph Delahaye, 1871-1925",H
003150,"Human Nature, and Other Sermons","Butler, Joseph, 1692-1752; Morley, Henry, 1822-1894 [Editor]",B
003165,Rashi,"Liber, Maurice, 1884-1956; Seltzer, Adele Szold, 1876-1940 [Translator]",B
003187,Christian Science,"Twain, Mark, 1835-1910",B
003207,Leviathan,"Hobbes, Thomas, 1588-1679",J
003261,"News from Nowhere; Or, An Epoch of Rest
Being Some Chapters from a Utopian Romance","Morris, William, 1834-1896",H
003270,"The Jerusalem Sinner Saved; or, Good News for the Vilest of Men","Bunyan, John, 1628-1688",B
003283,The Upanishads,"Paramananda, Swami, 1884-1940 [Translator]",B
003290,Valerius Terminus: Of the Interpretation of Nature,"Bacon, Francis, 1561-1626; Ellis, Robert Leslie, 1817-1859 [Annotator]",B
003296,The Confessions of St. Augustine,"Augustine, Saint, Bishop of Hippo, 354-430; Pusey, E. B. (Edward Bouverie), 1800-1882 [Translator]",B
003300,An Inquiry into the Nature and Causes of the Wealth of Nations,"Smith, Adam, 1723-1790",H
003307,"The Pagan Tribes of Borneo
A Description of Their Physical Moral and Intellectual Condition, with Some Discussion of Their Ethnic Relations","Hose, Charles, 1863-1929; McDougall, William, 1871-1938; Haddon, Alfred C. (Alfred Cort), 1855-1940 [Contributor]",G
003309,Manners and Monuments of Prehistoric Peoples,"Nadaillac, Jean-François-Albert du Pouget, marquis de, 1818-1904; D'Anvers, N., 1844-1933 [Translator]",G
003316,How Members of Congress Are Bribed,"Moore, J. Hampton (Joseph Hampton), 1864-1950",J
003327,Bulfinch's Mythology: The Age of Fable,"Bulfinch, Thomas, 1796-1867",B
003351,"Letters to His Son, 1746-47
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003352,"Letters to His Son, 1748
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003353,"Letters to His Son, 1749
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003354,"Letters to His Son, 1750
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003355,"Letters to His Son, 1751
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003356,"Letters to His Son, 1752
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003357,"Letters to His Son, 1753-54
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003358,"Letters to His Son, 1756-58
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003359,"Letters to His Son, 1759-65
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003360,"Letters to His Son, 1766-71
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003361,"Letters to His Son, Complete
On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773",B
003414,"The South Pole; an account of the Norwegian Antarctic expedition in the ""Fram,"" 1910-1912 — Volume 1","Amundsen, Roald, 1872-1928; Nansen, Fridtjof, 1861-1930 [Author of introduction, etc.]; Chater, Arthur G. [Translator]",G
003415,"The South Pole; an account of the Norwegian antarctic expedition in the ""Fram,"" 1910-1912 — Volume 2","Amundsen, Roald, 1872-1928; Chater, Arthur G. [Translator]",G
003420,"A Vindication of the Rights of Woman
With Strictures on Political and Moral Subjects","Wollstonecraft, Mary, 1759-1797",H
003434,The Koran (Al-Qur'an),"Rodwell, J. M. (John Medows), 1808-1900 [Translator]",B
003458,"Science and Health, with Key to the Scriptures","Eddy, Mary Baker, 1821-1910",B
003482,Voyages in Search of the North-West Passage,"Hakluyt, Richard, 1552?-1616; Morley, Henry, 1822-1894 [Editor]",G
003540,The Census in Moscow,"Tolstoy, Leo, graf, 1828-1910; Hapgood, Isabel Florence, 1850-1928 [Translator]",H
003541,What to Do? Thoughts Evoked By the Census of Moscow,"Tolstoy, Leo, graf, 1828-1910; Hapgood, Isabel Florence, 1850-1928 [Translator]",H
003548,The Pharisee and the Publican,"Bunyan, John, 1628-1688",B
003604,Jailed for Freedom,"Stevens, Doris, 1888-1963",J
003611,Second Shetland Truck System Report,"Guthrie, William, 1835-1908",H
003613,Miscellaneous Pieces,"Bunyan, John, 1628-1688",B
003614,An Exhortation to Peace and Unity,"Bunyan, John, 1628-1688",B
003623,The Golden Bough: A Study of Magic and Religion,"Frazer, James George, 1854-1941",B
003627,Life of Bunyan,"Hamilton, James, 1814-1867",B
003630,What to Do? Thoughts Evoked by the Census of Moscow,"Tolstoy, Leo, graf, 1828-1910; Hapgood, Isabel Florence, 1850-1928 [Translator]",H
003672,The 2000 CIA World Factbook,United States. Central Intelligence Agency,G
003690,"Floor Games; a companion volume to ""Little Wars""","Wells, H. G. (Herbert George), 1866-1946",G
003742,The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,"Paine, Thomas, 1737-1809; Conway, Moncure Daniel, 1832-1907 [Editor]",J
003752,Voyager's Tales,"Hakluyt, Richard, 1552?-1616",G
003799,Landholding in England,"Fisher, Joseph, F.R.H.S.",H
003800,Ethics,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",B
003819,The Euahlayi Tribe: A Study of Aboriginal Life in Australia,"Parker, K. Langloh (Katie Langloh), 1856-1940; Lang, Andrew, 1844-1912 [Author of introduction, etc.]",G
003833,Australian Legendary Tales: folk-lore of the Noongahburrahs as told to the Piccaninnies,"Parker, K. Langloh (Katie Langloh), 1856-1940",G
004032,Atlantis: The Antedeluvian World,"Donnelly, Ignatius, 1831-1901",G
004095,Plato and Platonism,"Pater, Walter, 1839-1894",B
004212,Culture and Anarchy,"Arnold, Matthew, 1822-1888",H
004220,An Autobiography,"Spence, Catherine Helen, 1825-1910",H
004222,Laperouse,"Scott, Ernest, Sir, 1868-1939",G
004225,First and Last Things: A Confession of Faith and Rule of Life,"Wells, H. G. (Herbert George), 1866-1946",B
004229,"The South Pole; an account of the Norwegian Antarctic expedition in the ""Fram,"" 1910-12 — Volume 1 and Volume 2","Amundsen, Roald, 1872-1928; Nansen, Fridtjof, 1861-1930 [Author of introduction, etc.]; Chater, Arthur G. [Translator]",G
004239,An Essay on the Principle of Population,"Malthus, T. R. (Thomas Robert), 1766-1834",H
004254,Miscellanies Upon Various Subjects,"Aubrey, John, 1626-1697",B
004277,Two Years Before the Mast,"Dana, Richard Henry, 1815-1882",G
004278,An Introduction to Yoga,"Besant, Annie, 1847-1933",B
004280,The Critique of Pure Reason,"Kant, Immanuel, 1724-1804; Meiklejohn, J. M. D. (John Miller Dow), 1830-1902 [Translator]",B
004283,Brazilian Sketches,"Ray, T. B. (T. Bronson), 1868-1934",B
004286,"Mastery of Self for Wealth, Power, Success","Haddock, Frank C. (Frank Channing), 1853-1915",B
004290,The Dominion in 1983,"Centennius, Ralph",H
004315,The Life of Sir Richard Burton,"Wright, Thomas, 1859-1936",G
004319,The Gospels in Four Part Harmony,"Clontz, J. (Jerry)",B
004320,An Enquiry Concerning the Principles of Morals,"Hume, David, 1711-1776",B
004323,The Heart-Cry of Jesus,"Rees, Byron J. (Byron Johnson), 1877-1920",B
004334,"Observations on the Effects of the Corn Laws, and of a Rise or Fall in the Price of Corn on the Agriculture and General Wealth of the Country","Malthus, T. R. (Thomas Robert), 1766-1834",H
004335,"The Grounds of an Opinion on the Policy of Restricting the Importation of Foreign Corn
Intended as an appendix to ""Observations on the corn laws""","Malthus, T. R. (Thomas Robert), 1766-1834",H
004336,"An Inquiry into the Nature and Progress of Rent, and the Principles by Which It is Regulated","Malthus, T. R. (Thomas Robert), 1766-1834",H
